id;id_label;elm;aksi;database
51ac7635b16dbf8acf8baf302a47bc15fde9d890ee654d290fc51800a864dd8b;41c0b5aaa4502836c78fa37580df029e61706e86fdac0d859f4f13ec24c345c6;"[name='user']";Input;username
ea73ffcd4b5b3d05b1f98de447eddfe847b9bc0d5f57feaf50a864af61e8228f;41c0b5aaa4502836c78fa37580df029e61706e86fdac0d859f4f13ec24c345c6;"[name='password']";Input;password
564091eb7abcdec0753ec16ea23fba6c6baa1e1f4ce24e3e506b4fbb39d79332;41c0b5aaa4502836c78fa37580df029e61706e86fdac0d859f4f13ec24c345c6;"[value='Log In']";Klik;simpan
a7c3bbe0dd4a5ba742da56da8f12b4ff024a9626ea3443700fb4a46a1efb2f38;526ec602730bb4ef4f8dda4f90e7e0e3cef0c6546057e0254190d880b6b677f6;"[name='username']";Input;username
5b17ebbd7a76876504c0cbb2ad1683d8e5478e71c76c39da9d3533241baa8961;526ec602730bb4ef4f8dda4f90e7e0e3cef0c6546057e0254190d880b6b677f6;"[name='password']";Input;password
9083a6042aafd92de88aed0ed32e1dbf9968f9fd7abbec0bf246ce46f9e49209;526ec602730bb4ef4f8dda4f90e7e0e3cef0c6546057e0254190d880b6b677f6;"[type='submit']";Klik;btn simpan
defe430abffd1dbe701fd806c7d8d64d476ed6ff17ff9b9cf2b51baf24c0941c;692d12a9a3be190b22f84154efa05abd929d9a10e32d636ab824d64b167aeb3d;"[name='user']";Input;username
e3d644585865a98a1a8473ae3aea7a08b9a40ffb069229f34fe7e41545d1fbe6;692d12a9a3be190b22f84154efa05abd929d9a10e32d636ab824d64b167aeb3d;"[name='password']";Input;password
e1dd4ea0cd2729a07ea050fa27f621aa2a62c0d9769539b792f197e3f5dcf183;692d12a9a3be190b22f84154efa05abd929d9a10e32d636ab824d64b167aeb3d;"[value='Log In']";Klik;login
b547d79997e472b8f539dc4eac18d097a23762102875a4846256ee08321f7c63;42b7688fee91223e780be36bcc42e3e32307156bef4a169622a9bd95686a62dd;"[href='https://fastfin.fastprint.co.id/api/hitung_penjualan/bulan']";Klik;update
8a0be9177a8966eb3776ef73d7ff12edb71c201eb6d1dbb32af901192ec1e354;e78934302444f982381ec012d8dbdb0cbea110de68c0c46bc4744c8e5cd5ae24;"[name='simpan']";Input;Nama
b68a808b9b40d7664218faf2c3b88e672a88c0c3ce6efee3385e2060df5b6c2f;e78934302444f982381ec012d8dbdb0cbea110de68c0c46bc4744c8e5cd5ae24;"[name='file']";Upload File;file
5543b45223c934efbb37ed96f67b9c62f6111b49a2e2fc360b442f878369c7ca;e78934302444f982381ec012d8dbdb0cbea110de68c0c46bc4744c8e5cd5ae24;"[value='Laki - Laki']";Pilihan Tunggal;jk
7082fbf6b3684561294165ad6a7d6f2ebf7ab396e770bd7a57a4ba3c917d928d;e78934302444f982381ec012d8dbdb0cbea110de68c0c46bc4744c8e5cd5ae24;"[value='Wanita']";Pilihan Tunggal;jk
766c55976b5d3d55b0b165c73e0a352d72f976cd4a906e3e207714c368bbd09a;e78934302444f982381ec012d8dbdb0cbea110de68c0c46bc4744c8e5cd5ae24;"[type='submit']";Klik;simpan
32aa0026997947ab976a32204f59b15fe11475d476c45748f10be24d72c7b0c5;dffceb644249239f8a47e9f220b1313d3f2db695f7f12a58fc0b7f53237006bd;"[name='simpan']";Input;nama
0762170ad8bc99cbc10312d13675c6b5a70fa6396fcfbf74c071bb8c6aaeaec6;dffceb644249239f8a47e9f220b1313d3f2db695f7f12a58fc0b7f53237006bd;"[value='Laki - Laki']";Pilihan Tunggal;jk
ceea30fb4c4d77d0a7bbc0beb8280b02f47bdfaf7195455e9f642606e026106e;dffceb644249239f8a47e9f220b1313d3f2db695f7f12a58fc0b7f53237006bd;"[value='Wanita']";Pilihan Tunggal;jk
13456f61ae303f1b7acb19886acbc3c1688d6a04722599d316f3fe17da96ded4;dffceb644249239f8a47e9f220b1313d3f2db695f7f12a58fc0b7f53237006bd;"[name='file']";Upload File;file
93f7a537f9c5ef4634559d960ae9b06194e5a7fced0615f1d9ad0593ea3e1130;cc317ded3d2b93e7887f28e3f047c86c248d572bebfbaf4f86084ead37caff48;"[name='simpan']";Input;nama
dc667093677ee5ac4735115100478b512b2d02d82ad1deee39346963db6e80f5;cc317ded3d2b93e7887f28e3f047c86c248d572bebfbaf4f86084ead37caff48;"[value='Laki - Laki']";Pilihan Tunggal;jk
96f734755ff99d21b2f43655c33840339e320feb61a7216842924fa95180978d;cc317ded3d2b93e7887f28e3f047c86c248d572bebfbaf4f86084ead37caff48;"[value='Wanita']";Pilihan Tunggal;jk
12a984c195fe39bfae788030ed7894e29816685b1c22e050ac1a77e087a98630;cc317ded3d2b93e7887f28e3f047c86c248d572bebfbaf4f86084ead37caff48;"[name='file']";Upload File;file
4e703c3ddce2f96197aee72fd8197165d32fc719c93d0f0390621e8457caed28;cc317ded3d2b93e7887f28e3f047c86c248d572bebfbaf4f86084ead37caff48;"[type='submit']";Klik;simpan